name,comment_magicnumber_err
febautis,1
grbish,1
hwblake,1
jbuhr,1
dwburg,1
jrcoblei,1
rcoons,1
kmcumber,1
taelpers,1
hafoard,1
hgupta5,1
cchetes,1
jdhixson,1
xhuang24,1
jlakhan,1
srnixon,1
nramesh3,1
acrulian,1
sgshea,1
gjtravis,1
lnyang2,1
mzhang42,1
dbhatna2,1
cecausey,1
jjclarke,1
sdaniel8,1
ttdo,1
ajhills,1
vkkambar,1
fkarabu,1
pkrish22,1
dlakshm,1
cmlewis7,1
ztang5,1
kwodom,1
droros,1
kvpatel2,1
asanty,1
zhyakout,1
yzhou39,1
lhbarber,1
jeboucha,1
jdonnel2,1
dsramasw,1
bcajax,0
nzbennet,0
smbondre,0
ztboulto,0
zbridge,0
dcbusse,0
xce,0
amchan,0
akclark4,0
clcoffel,0
cfcole,0
wbcrowde,0
ncdavis5,0
gpdean,0
jjdeuche,0
jmpatte8,0
ememerso,0
hmestes,0
idetuk,0
ahflanag,0
nsfoster,0
pcglas,0
kgolla,0
yfhamm,0
lghardin,0
sahinto2,0
mchon,0
yhu13,0
svjacobs,0
djjagt,0
kkang24,0
tdkelleh,0
epkite,0
gfkoeb,0
llkoger,0
mnkokcu,0
jdlangho,0
aplannin,0
mclin,0
zlin24,0
vdliu,0
kjlu2,0
ddmai,0
amalik4,0
zmmalik,0
jtmast,0
jamavrid,0
acmay,0
wdmccart,0
samink,0
rfnajm,0
jrnolan2,0
tjnolan3,0
hsoconne,0
mowens4,0
pgpajers,0
ijpatel,0
rapate23,0
mdpearso,0
gperezb,0
mpetrar,0
wdpressl,0
hwpruitt,0
lmqueen,0
hdschnei,0
yfshakht,0
brshi,0
pmshore,0
fasi,0
asingh39,0
rsingh27,0
cmsluder,0
jlsulli5,0
mmtawous,0
rntaylo3,0
wptoutai,0
wctwigg,0
muricch,0
lsuy,0
hawhite2,0
bayngve,0
kgzavadi,0
kzhang33,0
mzou4,0
aeabraha,0
yagarwa2,0
zsali,0
fameen,0
gsamendt,0
mtashe2,0
irbasora,0
bmbatts2,0
btbeehle,0
jibeeker,0
albhadri,0
peblain,0
cablumsa,0
mtbook,0
jtbrain,0
rcbruce2,0
jabuckne,0
jjclark4,0
mkcorn,0
gtcurran,0
sadavi26,0
cbdocke2,0
jmdonahu,0
sgellio4,0
mdembree,0
bcflemin,0
hmgandh2,0
bjgent,0
jmglove6,0
vrgottiv,0
jaguaman,0
sgunnis,0
jwhall7,0
cwhamake,0
cmhardwi,0
smholika,0
ahidries,0
asjohn,0
tkjohns3,0
esjun,0
jjung8,0
kkannan,0
asklevan,0
jaknopf,0
mtkosmal,0
jgkurian,0
lmlatta,0
jliu77,0
rklonde,0
srmahaja,0
lmmaradi,0
bdmarks,0
vmehta4,0
mymeles,0
mmmorano,0
ajmyers5,0
snain,0
aknelso2,0
mdnguye2,0
jkott,0
spandey3,0
appate24,0
bjpatel2,0
jnpatel,0
tpatel7,0
adpatil,0
kpatnal,0
spaudel4,0
bjpittm2,0
mpruchn,0
dcquigle,0
ajsaddy,0
ssamal,0
asawhne,0
lhschwar,0
acsenn,0
ashah28,0
kpsherk,0
mssodhi,0
jnsproul,0
lgstewar,0
rssuh,0
jrsykes2,0
actasiss,0
kdtate,0
wgthoma3,0
fttolliv,0
tatran5,0
deturner,0
jdusher,0
skverma,0
awaleed,0
mcwise3,0
njziglar,0
gaban,0
jbayne,0
lbuttit,0
jmduffy,0
wgreene,0
dhecht,0
dho2,0
slundy,0
pcpurdue,0
vrajago2,0
jvrichar,0
nksanfor,0
xdu24,
hakon,
gtpeters,
spotu,
hmrollin,
kscho2,